SI,¦Â2
71.76 ,0.128 
71.76 ,0.112 
71.76 ,0.098 
71.76 ,0.086 
71.76 ,0.076 
68.06 ,0.068 
68.06 ,0.060 
68.06 ,0.053 
68.06 ,0.048 
64.35 ,0.044 
64.35 ,0.041 
66.20 ,0.038 
58.80 ,0.037 
56.94 ,0.037 
56.94 ,0.038 
56.94 ,0.039 
56.94 ,0.040 
56.94 ,0.041 
52.31 ,0.040 
52.31 ,0.041 
46.76 ,0.039 
46.76 ,0.033 
46.76 ,0.028 
58.80 ,0.024 
61.57 ,0.019 
61.57 ,0.015 
61.57 ,0.012 
49.54 ,0.010 
49.54 ,0.008 
49.54 ,0.007 
49.54 ,0.007 
49.54 ,0.008 
56.02 ,0.009 
56.02 ,0.010 
57.87 ,0.011 
52.31 ,0.011 
56.02 ,0.011 
56.02 ,0.010 
56.02 ,0.009 
56.02 ,0.008 
56.02 ,0.007 
56.02 ,0.007 
56.02 ,0.006 
56.02 ,0.006 
50.46 ,0.006 
50.46 ,0.006 
50.46 ,0.006 
56.02 ,0.006 
47.69 ,0.007 
47.69 ,0.007 
47.69 ,0.008 
50.46 ,0.010 
50.46 ,0.016 
50.46 ,0.026 
50.46 ,0.038 
56.02 ,0.048 
56.02 ,0.052 
58.80 ,0.050 
58.80 ,0.044 
79.63 ,0.126 
87.96 ,0.108 
87.96 ,0.095 
87.96 ,0.084 
87.96 ,0.075 
87.96 ,0.066 
87.96 ,0.059 
86.11 ,0.052 
86.11 ,0.046 
82.41 ,0.040 
78.70 ,0.036 
78.70 ,0.033 
70.37 ,0.030 
70.37 ,0.026 
61.11 ,0.024 
61.11 ,0.021 
61.11 ,0.020 
59.72 ,0.018 
59.72 ,0.017 
62.50 ,0.017 
62.50 ,0.017 
62.50 ,0.017 
51.39 ,0.019 
51.39 ,0.021 
51.39 ,0.023 
51.39 ,0.028 
51.39 ,0.037 
51.39 ,0.040 
43.98 ,0.041 
43.98 ,0.036 
43.98 ,0.029 
43.98 ,0.025 
43.98 ,0.022 
43.98 ,0.021 
43.98 ,0.020 
43.98 ,0.020 
41.20 ,0.017 
41.20 ,0.015 
41.20 ,0.014 
41.20 ,0.015 
41.20 ,0.015 
46.76 ,0.016 
46.76 ,0.017 
46.76 ,0.017 
46.76 ,0.018 
46.76 ,0.019 
46.76 ,0.019 
46.76 ,0.021 
46.76 ,0.023 
46.76 ,0.029 
48.61 ,0.054 
48.61 ,0.083 
48.61 ,0.146 
48.61 ,0.258 
48.61 ,0.329 
46.76 ,0.385 
42.13 ,0.682 
42.13 ,0.500 
42.13 ,0.284 
82.41 ,0.126 
83.33 ,0.106 
83.33 ,0.089 
83.33 ,0.075 
83.33 ,0.064 
83.33 ,0.054 
83.33 ,0.046 
81.48 ,0.039 
77.78 ,0.033 
77.78 ,0.028 
77.78 ,0.024 
75.00 ,0.021 
75.00 ,0.018 
75.00 ,0.016 
75.00 ,0.015 
75.00 ,0.014 
75.00 ,0.013 
75.00 ,0.012 
75.00 ,0.011 
75.00 ,0.011 
75.00 ,0.010 
69.44 ,0.010 
67.59 ,0.009 
67.59 ,0.009 
67.59 ,0.010 
67.59 ,0.010 
67.59 ,0.010 
67.59 ,0.010 
67.59 ,0.009 
67.59 ,0.009 
64.81 ,0.008 
59.26 ,0.007 
59.26 ,0.007 
56.48 ,0.006 
60.19 ,0.006 
60.19 ,0.006 
54.63 ,0.005 
54.63 ,0.005 
54.63 ,0.005 
46.30 ,0.004 
37.04 ,0.004 
37.04 ,0.003 
42.59 ,0.003 
43.98 ,0.004 
43.98 ,0.004 
45.83 ,0.005 
55.09 ,0.007 
76.39 ,0.009 
84.26 ,0.012 
84.26 ,0.015 
84.26 ,0.019 
84.26 ,0.018 
84.26 ,0.017 
84.26 ,0.020 
84.26 ,0.025 
84.26 ,0.034 
84.26 ,0.045 
84.26 ,0.057 
0.00 ,0.066 
63.89 ,0.126 
63.89 ,0.106 
63.89 ,0.090 
63.89 ,0.077 
63.89 ,0.065 
60.19 ,0.056 
60.19 ,0.048 
60.19 ,0.041 
70.37 ,0.036 
70.37 ,0.031 
62.04 ,0.028 
70.37 ,0.025 
68.52 ,0.023 
71.30 ,0.022 
75.00 ,0.022 
75.00 ,0.020 
75.00 ,0.019 
63.89 ,0.018 
63.89 ,0.017 
63.89 ,0.016 
54.63 ,0.015 
54.63 ,0.015 
54.63 ,0.015 
54.63 ,0.014 
47.22 ,0.014 
47.22 ,0.015 
45.83 ,0.016 
43.98 ,0.018 
43.98 ,0.026 
43.98 ,0.065 
43.98 ,-0.403 
60.65 ,-0.065 
66.67 ,-0.040 
66.67 ,-0.028 
66.67 ,-0.023 
66.67 ,-0.021 
66.67 ,-0.021 
66.67 ,-0.023 
66.67 ,-0.030 
66.67 ,-0.044 
66.67 ,-0.250 
66.67 ,0.053 
66.67 ,0.021 
66.67 ,0.012 
66.67 ,0.009 
66.67 ,0.008 
66.67 ,0.009 
66.67 ,0.012 
72.22 ,0.019 
72.22 ,0.034 
72.22 ,0.067 
72.22 ,0.109 
72.22 ,0.712 
69.44 ,-0.227 
69.44 ,-0.154 
69.44 ,-0.136 
69.44 ,-0.126 
69.44 ,-0.117 
69.44 ,-0.113 
60.19 ,0.125 
60.19 ,0.106 
60.19 ,0.090 
60.19 ,0.076 
62.96 ,0.065 
62.96 ,0.055 
62.96 ,0.047 
62.96 ,0.040 
62.96 ,0.035 
62.96 ,0.030 
62.96 ,0.026 
62.96 ,0.024 
70.37 ,0.021 
75.93 ,0.019 
75.93 ,0.018 
60.19 ,0.017 
60.19 ,0.016 
54.63 ,0.015 
50.93 ,0.014 
50.93 ,0.014 
50.93 ,0.014 
50.93 ,0.014 
50.93 ,0.015 
50.93 ,0.018 
50.93 ,0.022 
50.93 ,0.031 
50.93 ,0.054 
50.93 ,-0.376 
50.93 ,-0.043 
50.93 ,-0.021 
47.22 ,-0.015 
47.22 ,-0.013 
47.22 ,-0.013 
47.22 ,-0.014 
47.22 ,-0.015 
43.06 ,-0.019 
43.06 ,-0.026 
43.06 ,-0.043 
43.06 ,-0.091 
40.28 ,9.242 
40.28 ,0.097 
45.83 ,0.062 
45.83 ,0.057 
45.83 ,0.050 
45.83 ,0.059 
45.83 ,0.073 
48.61 ,0.104 
50.00 ,0.163 
44.44 ,0.219 
44.44 ,0.305 
44.44 ,0.720 
44.44 ,0.583 
44.44 ,1.011 
44.44 ,-0.432 
44.44 ,-0.251 
44.44 ,-0.225 
50.00 ,-0.214 
50.00 ,-0.175 
50.00 ,-0.139 
67.13 ,0.125 
67.13 ,0.105 
77.31 ,0.087 
77.31 ,0.073 
77.31 ,0.061 
77.31 ,0.051 
77.31 ,0.043 
77.31 ,0.036 
73.61 ,0.030 
73.61 ,0.025 
73.61 ,0.021 
68.06 ,0.018 
68.06 ,0.015 
64.35 ,0.013 
53.24 ,0.011 
58.80 ,0.009 
61.57 ,0.008 
65.28 ,0.007 
65.28 ,0.006 
80.56 ,0.005 
80.56 ,0.005 
80.56 ,0.004 
80.56 ,0.004 
64.81 ,0.004 
78.70 ,0.004 
78.70 ,0.004 
80.56 ,0.004 
80.56 ,0.004 
80.56 ,0.005 
85.19 ,0.007 
85.19 ,0.010 
81.94 ,0.015 
77.31 ,0.027 
67.59 ,0.094 
67.59 ,-0.138 
67.59 ,-0.046 
64.81 ,-0.032 
64.81 ,-0.024 
59.26 ,-0.019 
59.26 ,-0.016 
59.26 ,-0.013 
59.26 ,-0.012 
59.26 ,-0.010 
59.26 ,-0.009 
55.09 ,-0.008 
55.09 ,-0.008 
55.09 ,-0.007 
53.24 ,-0.007 
53.24 ,-0.006 
53.24 ,-0.006 
53.24 ,-0.006 
50.46 ,-0.006 
50.46 ,-0.006 
64.81 ,-0.006 
64.81 ,-0.007 
64.81 ,-0.011 
54.17 ,-0.040 
54.17 ,0.032 
54.17 ,0.020 
60.19 ,0.126 
60.19 ,0.107 
60.19 ,0.092 
60.19 ,0.079 
60.19 ,0.067 
60.19 ,0.058 
60.19 ,0.049 
60.19 ,0.042 
60.19 ,0.037 
60.19 ,0.032 
60.19 ,0.027 
60.19 ,0.024 
60.19 ,0.021 
60.19 ,0.019 
60.19 ,0.018 
50.93 ,0.017 
50.93 ,0.016 
50.93 ,0.015 
50.93 ,0.015 
50.93 ,0.014 
50.93 ,0.014 
48.15 ,0.014 
48.15 ,0.015 
48.15 ,0.015 
48.15 ,0.016 
44.44 ,0.016 
44.44 ,0.017 
44.44 ,0.017 
44.44 ,0.017 
40.74 ,0.015 
40.74 ,0.013 
